t = 0.500000
             x          prec          calc          diff    n
  1.000000e+00  5.000000e-01  5.000000e-01  1.554312e-15    0
  1.062500e+00  5.000000e-01  5.000000e-01  5.440093e-15    1
  1.125000e+00  5.000000e-01  5.000000e-01  7.327472e-15    2
  1.187500e+00  5.000000e-01  5.000000e-01  9.992007e-15    3
  1.250000e+00  5.000000e-01  5.000000e-01  1.298961e-14    4
  1.312500e+00  5.000000e-01  5.000000e-01  1.609823e-14    5
  1.375000e+00  5.000000e-01  5.000000e-01  1.898481e-14    6
  1.437500e+00  5.000000e-01  5.000000e-01  2.176037e-14    7
  1.500000e+00  5.000000e-01  5.000000e-01  2.420286e-14    8
  1.562500e+00  5.000000e-01  5.000000e-01  2.653433e-14    9
  1.625000e+00  5.000000e-01  5.000000e-01  2.975398e-14   10
  1.687500e+00  5.000000e-01  5.000000e-01  3.208545e-14   11
  1.750000e+00  5.000000e-01  5.000000e-01  3.441691e-14   12
  1.812500e+00  5.000000e-01  5.000000e-01  3.708145e-14   13
  1.875000e+00  5.000000e-01  5.000000e-01  3.930190e-14   14
  1.937500e+00  5.000000e-01  5.000000e-01  4.185541e-14   15
  2.000000e+00  5.000000e-01  5.000000e-01  4.363176e-14   16
  2.062500e+00  5.000000e-01  5.000000e-01  4.640732e-14   17
  2.125000e+00  5.000000e-01  5.000000e-01  4.751755e-14   18
  2.187500e+00  5.000000e-01  5.000000e-01  4.984901e-14   19
  2.250000e+00  5.000000e-01  5.000000e-01  5.173639e-14   20
  2.312500e+00  5.000000e-01  5.000000e-01  5.351275e-14   21
  2.375000e+00  5.000000e-01  5.000000e-01  5.517808e-14   22
  2.437500e+00  5.000000e-01  5.000000e-01  5.628831e-14   23
  2.500000e+00  5.000000e-01  5.000000e-01  5.750955e-14   24
  2.562500e+00  5.000000e-01  5.000000e-01  5.917489e-14   25
  2.625000e+00  5.000000e-01  5.000000e-01  6.039613e-14   26
  2.687500e+00  5.000000e-01  5.000000e-01  6.084022e-14   27
  2.750000e+00  5.000000e-01  5.000000e-01  6.195044e-14   28
  2.812500e+00  5.000000e-01  5.000000e-01  6.250556e-14   29
  2.875000e+00  5.000000e-01  5.000000e-01  6.261658e-14   30
  2.937500e+00  5.000000e-01  5.000000e-01  6.272760e-14   31
  3.000000e+00  5.000000e-01  5.000000e-01  6.294965e-14   32
  3.062500e+00  5.000000e-01  5.000000e-01  6.317169e-14   33
  3.125000e+00  5.000000e-01  5.000000e-01  6.306067e-14   34
  3.187500e+00  5.000000e-01  5.000000e-01  6.250556e-14   35
  3.250000e+00  5.000000e-01  5.000000e-01  6.206147e-14   36
  3.312500e+00  5.000000e-01  5.000000e-01  6.183942e-14   37
  3.375000e+00  5.000000e-01  5.000000e-01  6.150636e-14   38
  3.437500e+00  5.000000e-01  5.000000e-01  5.995204e-14   39
  3.500000e+00  5.000000e-01  5.000000e-01  5.928591e-14   40
  3.562500e+00  5.000000e-01  5.000000e-01  5.839773e-14   41
  3.625000e+00  5.000000e-01  5.000000e-01  5.551115e-14   42
  3.687500e+00  5.000000e-01  5.000000e-01  5.528911e-14   43
  3.750000e+00  5.000000e-01  5.000000e-01  5.306866e-14   44
  3.812500e+00  5.000000e-01  5.000000e-01  5.151435e-14   45
  3.875000e+00  5.000000e-01  5.000000e-01  4.951595e-14   46
